,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
5437,Chemical Irritant,Male,White,Tensed,Downtown West,Disturbance ,OBSTRU,44.979626,-93.272499
5438,Chemical Irritant,Female,Black,Verbal Non-Compliance,Folwell,Suspicious Vehicle ,DWIREF,45.024,-93.297506
5439,Bodily Force,Male,Black,Assaulted Officer,Central,Unwanted Person ,ASLT4,44.943957,-93.265161
5440,Bodily Force,Male,Other / Mixed Race,Assaulted Officer,King Field,Domestic ,ASLT4,44.935027,-93.276619
5441,Bodily Force,Female,Native American,Tensed,Holland,Customer Trouble ,WT,45.00927,-93.26311
5442,Bodily Force,Male,Black,Verbal Non-Compliance,Victory,Traffic Law Enforcement ,OBSTRU,45.037339,-93.31546
5443,Taser,Male,Black,Tensed,Shingle Creek,Sound of Shots Fired ,DISWEA,45.044854,-93.310528
5444,Police K9 Bite,Male,White,Fled on Foot,Logan Park,Chase on Foot ,FLEE,45.000899,-93.256903
5445,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,DISCON,44.979626,-93.272499
5447,Bodily Force,Male,Black,Commission of Crime,Lind - Bohanon,Person with a Gun ,DASLT2,45.046619,-93.287632
5448,Taser,Male,Black,Tensed,Downtown East,Attempt Pick-Up ,NARC,44.976508,-93.254077
5449,Bodily Force,Male,White,Tensed,Prospect Park - East River Road,Damage Property-In Progress,WEAP,44.969035,-93.225678
5450,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,FALSNM,44.981655,-93.271963
5451,Bodily Force,Male,Black,Fled on Foot,Cleveland,Sound of Shots Fired ,FLEEFT,45.014155,-93.313338
5452,Bodily Force,Male,Black,Fled on Foot,Near - North,Person with a Gun ,LOITER,44.991192,-93.298199
5453,Bodily Force,Male,Black,Assaulted Officer,Ventura Village,Domestic ,ASLT4,44.960916,-93.260375
5454,Chemical Irritant,Male,Black,Fled on Foot,Downtown West,Chase on Foot ,OBSTRU,44.981648,-93.273116
5455,Chemical Irritant,Female,White,Tensed,Lynnhurst,Poss Personal Injury Acc ,OBSTRU,44.914149,-93.300389
5456,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,OBSTRU,44.978019,-93.277025
5457,Bodily Force,Male,Other / Mixed Race,Fled on Foot,East Phillips,Unwanted Person ,OBSTRU,44.949215,-93.251222
5458,Improvised Weapon,Male,Black,Fled on Foot,Jordan,Assault in Progress ,ASLT5,45.005555,-93.304422
5459,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Person ,FLEEFT,45.001202,-93.306949
5460,Chemical Irritant,Male,White,Unspecified,Downtown West,Fight ,DISCON,44.97606,-93.274885
5461,Bodily Force,Male,Black,Commission of Crime,Near - North,Domestic Abuse-In Progress ,OBSTRU,44.991498,-93.30258
5462,Bodily Force,Male,White,Tensed,Prospect Park - East River Road,Disturbance ,OBSTRU,44.969758,-93.222832
5463,Chemical Irritant,Male,White,Assaulted Officer,Nicollet Island - East Bank,Suspicious Person ,PRKVIO,44.987353,-93.259645
5464,Bodily Force,Male,Black,Assaulted Officer,Central,Domestic Abuse-In Progress ,ASLT4,44.94226,-93.274069
5465,Bodily Force,Male,Black,Tensed,Webber - Camden,Domestic ,DASLT5,45.02759,-93.29254
5466,Bodily Force,Male,Black,Assaulted Officer,Jordan,Domestic Abuse-In Progress ,ASLT4,45.008656,-93.295576
5467,Bodily Force,Male,White,Assaulted Officer,Jordan,Domestic Abuse-In Progress ,ASLT4,45.008656,-93.295576
5468,Chemical Irritant,Male,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON,44.979626,-93.272499
5469,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,FORCE,44.979626,-93.272499
5470,Taser,Male,Other / Mixed Race,Commission of Crime,King Field,Unknown Trouble ,DISCON,44.936833,-93.27663
5471,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.979626,-93.272499
5472,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Sound of Shots Fired ,WEAP,44.993737,-93.308221
5473,Bodily Force,Female,Native American,Tensed,Holland,Customer Trouble ,WT,45.00927,-93.26311
5474,Bodily Force,Female,White,Tensed,Loring Park,Tenant Trouble ,ASLT2,44.964609,-93.283231
5475,Bodily Force,Male,Black,Fled on Foot,McKinley,Sound of Shots Fired ,FLEEFT,45.01493,-93.292435
5476,Bodily Force,Male,Black,Fled on Foot,Near - North,Suspicious Person ,WEAP,44.991192,-93.298199
5477,Firearm,Male,Black,Unspecified,Downtown West,Person with a Gun ,WEAP,44.981638,-93.274247
5478,Bodily Force,Male,White,Fled on Foot,ECCO,Chase on Foot ,OBSTRU,44.94472,-93.29896
5479,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Downtown West,Attempt Pick-Up ,FLEEFT,44.98329,-93.271927
5480,Bodily Force,Female,Black,Tensed,Near - North,On Site ,OBSTRU,44.996865,-93.294112
5481,Chemical Irritant,Female,Black,Verbal Non-Compliance,Folwell,Person with a Gun ,FORCE,45.020457,-93.307632
5482,Bodily Force,Male,White,Assaulted Officer,Phillips West,Suspicious Person ,ASLT4,44.948355,-93.273484
5483,Bodily Force,Male,Black,Assaulted Officer,Central,Officer Needs Help ,OBSTRU,44.943175,-93.263245
5484,Bodily Force,Male,White,Assaulted Officer,Downtown East,Drunk/Intoxicated Person ,ASLT4,44.980294,-93.25829
5485,Bodily Force,Male,Black,Tensed,Jordan,Loud Party ,DISCON,45.007822,-93.307583
5486,Bodily Force,Male,Other / Mixed Race,Fled on Foot,McKinley,Traffic Law Enforcement ,DOMEN,45.017614,-93.290553
5487,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FLEEFT,44.980866,-93.270764
5488,Bodily Force,Male,Black,Assaulted Officer,Jordan,Domestic Abuse-In Progress ,ASLT4,45.008656,-93.295576
5489,Taser,Female,White,Verbal Non-Compliance,Marcy Holmes,Assist EMS Personnel ,OBSTRU,44.989811,-93.252446
5490,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU,44.980833,-93.27196
5491,Taser,Male,Black,Tensed,Willard - Hay,High Risk Warrant Entry ,NARC,44.991541,-93.315263
5492,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON,44.977582,-93.275347
5493,Bodily Force,Male,Black,Tensed,Harrison,Trespass in Boarded Dwell ,TRSPAS,44.980557,-93.299256
5494,Chemical Irritant,Male,Black,Tensed,Powderhorn Park,Miscellaneous ,DISCON,44.948358,-93.262041
5495,Bodily Force,Male,Black,Tensed,Downtown West,Customer Trouble ,OBSTRU,44.982469,-93.271954
5496,Taser,Male,Black,Tensed,Holland,Domestic ,CIC,45.008401,-93.249149
5497,Chemical Irritant,Male,Black,Tensed,Downtown West,Disturbance ,DISCON,44.979626,-93.272499
5498,Bodily Force,Male,Black,Tensed,Elliot Park,Narcotics ,POSDPA,44.967167,-93.263829
5499,Bodily Force,Male,Black,Commission of Crime,Downtown West,Disturbance ,FALSNM,44.981655,-93.271963
5500,Bodily Force,Male,Black,Tensed,Holland,Suspicious Vehicle ,WEAP,45.015872,-93.250899
5501,Bodily Force,Male,Black,Fled on Foot,Folwell,Motor Vehicle Chase ,FLEE,45.019442,-93.29307
5502,Bodily Force,Male,Black,Fled on Foot,Webber - Camden,Audible Residential Alarm ,BURGD,45.026688,-93.293145
5503,Bodily Force,Male,Other / Mixed Race,Assaulted Officer,Steven's Square - Loring Heights,Theft ,FALSNM,44.96332,-93.272759
5504,Bodily Force,Male,White,Fled on Foot,Folwell,Recover Vehicle ,BURGD,45.014996,-93.300016
5505,Bodily Force,Male,Black,Tensed,Phillips West,Narcotics ,NARC,44.949212,-93.272838
5506,Bodily Force,Male,White,Verbal Non-Compliance,Windom,Check the Welfare ,SUICDE,44.893312,-93.288342
5507,Bodily Force,Male,White,Commission of Crime,Corcoran,Traffic Law Enforcement ,FLEE,44.940445,-93.235929
5508,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Marcy Holmes,Customer Trouble ,OBSTRU,44.988564,-93.243069
5509,Bodily Force,Male,Black,Tensed,Downtown West,Disturbance ,OBSTRU,44.980866,-93.270764
5510,Bodily Force,Male,Black,Tensed,Near - North,Narcotics ,FLEEFT,44.991192,-93.298199
5511,Bodily Force,Male,Black,Fled on Foot,Near - North,Chase on Foot ,NARC,44.991192,-93.298199
5512,Bodily Force,Male,Black,Tensed,Marcy Holmes,Suspicious Person ,DISCON,44.985622,-93.250274
5513,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Fight ,DISCON,44.982469,-93.271954
5514,Bodily Force,Male,Black,Fled in Vehicle,Willard - Hay,Motor Vehicle Chase ,FLEE,44.997477,-93.31844
5515,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Windom Park,Indecent Exposure ,DISCON,45.012669,-93.247341
5516,Bodily Force,Male,Black,Fled on Foot,North Loop,Fight ,DASLT5,44.99251,-93.275395
5517,Bodily Force,Male,Black,Commission of Crime,Phillips West,Unknown Trouble ,DASLT2,44.955532,-93.268307
5518,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT3,44.978339,-93.271065
5519,Bodily Force,Male,Black,Fled on Foot,Downtown West,Fight ,FLEEFT,44.980065,-93.271883
5520,Bodily Force,Male,Black,Fled on Foot,Holland,Crim Sex Conduct ,911INT,45.013162,-93.252767
5521,Bodily Force,Male,White,Unspecified,Downtown West,Disturbance ,DISCON,44.979626,-93.272499
5522,Bodily Force,Male,White,Commission of Crime,Downtown West,Disturbance ,DISCON,44.98329,-93.271927
5523,Improvised Weapon,Female,Native American,Assaulted Officer,East Phillips,Disturbance ,OBSTRU,44.957217,-93.244852
5524,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Traffic Law Enforcement ,NARC,44.999685,-93.287989
5525,Taser,Male,Black,Fled on Foot,Ventura Village,Suspicious Person ,POSDPA,44.963319,-93.268936
5526,Chemical Irritant,Male,White,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON,44.981648,-93.273116
5527,Bodily Force,Male,Black,Fled in Vehicle,Diamond Lake,Domestic Abuse-In Progress ,FLEE,44.893414,-93.262871
5528,Bodily Force,Male,Black,Commission of Crime,Ventura Village,Robbery Dwell in Progress ,BURGD,44.960018,-93.261095
5529,Bodily Force,Male,Black,Assaulted Officer,Bottineau,Unknown Trouble ,DASLT5,45.008036,-93.271699
5530,Bodily Force,Male,Black,Tensed,Phillips West,Attempt Pick-Up ,CIC,44.95553,-93.26323
5531,Bodily Force,Male,Black,Tensed,Downtown West,Assault in Progress ,OBSTRU,44.977367,-93.271797
5532,Bodily Force,Male,Black,Verbal Non-Compliance,Hawthorne,Bait Vehicle Auto Theft ,BAITV,45.008964,-93.284938
5533,Bodily Force,Male,Black,Verbal Non-Compliance,Near - North,Suspicious Vehicle ,CBYMIN,44.992521,-93.295648
5534,Bodily Force,Male,Black,Verbal Non-Compliance,Powderhorn Park,Suspicious Vehicle ,FLEE,44.942914,-93.253096
5535,Chemical Irritant,Female,Black,Unspecified,Downtown West,Fight ,FORCE,44.980065,-93.271883
5536,Bodily Force,Male,Black,Assaulted Officer,Whittier,Theft ,ASLT4,44.960903,-93.275912
5537,Bodily Force,Male,Black,Fled on Foot,Jordan,Poss Personal Injury Acc ,HRWI,45.006855,-93.295573
5538,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Fight ,ASLT5,44.979986,-93.274284
5539,Taser,Male,Other / Mixed Race,Commission of Crime,Downtown West,Suspicious Person ,DISCON,44.981648,-93.273116
5540,Bodily Force,Male,Black,Tensed,Downtown West,Officer Needs Help ,OBSTRU,44.979626,-93.272499
5541,Bodily Force,Male,Black,Assaulted Officer,Elliot Park,Traffic Law Enforcement ,ASLT4,44.968424,-93.261058
5542,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Chase on Foot ,ASLT4,44.981648,-93.273116
5543,Taser,Male,White,Tensed,St. Anthony West,Customer Trouble ,OBSTRU,44.998703,-93.263519
5544,Bodily Force,Male,Black,Fled on Foot,Victory,Theft ,TFMV,45.031325,-93.312954
5545,Bodily Force,Male,Black,Tensed,University of Minnesota,Unknown Trouble ,OBSTRU,44.973099,-93.228692
5546,Bodily Force,Male,White,Tensed,Holland,Suspicious Person ,OBSTRU,45.015871,-93.249122
5547,Bodily Force,Male,Black,Assaulted Officer,Steven's Square - Loring Heights,Disturbance ,ASLT4,44.963327,-93.277813
5548,Bodily Force,Male,Native American,Verbal Non-Compliance,Jordan,Traffic Law Enforcement ,DAR,45.007822,-93.307583
5549,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Disturbance ,FORCE,44.981655,-93.271963
5550,Bodily Force,Male,Black,Verbal Non-Compliance,St. Anthony East,Unknown Trouble ,OBSTRU,44.993876,-93.2499
5551,Bodily Force,Male,White,Fled on Foot,ECCO,Chase on Foot ,OBSTRU,44.94472,-93.29896
5552,Bodily Force,Male,Black,Tensed,Jordan,Domestic Abuse-In Progress ,DASLT5,45.011425,-93.306333
5553,Chemical Irritant,Male,Native American,Tensed,Steven's Square - Loring Heights,Down Outside-One ,DISCON,44.963327,-93.277813
5554,Taser,Female,Native American,Commission of Crime,Midtown Phillips,Unknown Trouble ,OBSTRU,44.959121,-93.261191
5555,Bodily Force,Male,Black,Tensed,Loring Park,Down Outside-One ,OBSTRU,44.968853,-93.277814
5556,Bodily Force,Male,Black,Fled on Foot,Jordan,Assault in Progress ,ASLT5,45.008656,-93.295576
5557,Taser,Male,Black,Fled on Foot,Downtown West,On Site ,DISCON,44.979626,-93.272499
5558,Bodily Force,Male,Black,Tensed,Jordan,Loud Party ,DISCON,45.007822,-93.307583
5559,Bodily Force,Male,Other / Mixed Race,Fled on Foot,McKinley,Traffic Law Enforcement ,DOMEN,45.017614,-93.290553
5560,Bodily Force,Male,Black,Fled on Foot,Near - North,Forgery in Progress ,CHLDAB,44.995809,-93.281566
5561,Bodily Force,Male,Black,Assaulted Officer,Steven's Square - Loring Heights,Disturbance ,ASLT4,44.963327,-93.277813
5562,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,DISCON,44.975433,-93.273422
5563,Bodily Force,Male,Black,Tensed,Lowry Hill East,Fight ,DISCON,44.949646,-93.295726
5564,Bodily Force,Male,White,Verbal Non-Compliance,Elliot Park,Emotionally Disturb Person ,CIC,44.968926,-93.265099
5565,Taser,Male,Black,Fled in Vehicle,Midtown Phillips,Bait Vehicle Auto Theft ,FLEE,44.948367,-93.253141
5566,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,FORCE,44.981648,-93.273116
5567,Taser,Male,Other / Mixed Race,Commission of Crime,Cedar Riverside,Suspicious Person ,OBSTRU,44.968975,-93.247258
5568,Bodily Force,Male,Black,Unspecified,Near - North,Suspicious Person ,NARC,44.996866,-93.29564
5569,Bodily Force,Male,Asian,Fled on Foot,Downtown West,Chase on Foot ,OBSTRU,44.979187,-93.273109
5570,Taser,Male,Native American,Tensed,Longfellow,Check the Welfare ,DISCON,44.942948,-93.231185
5571,Bodily Force,Male,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,SHOPLF,44.975433,-93.273422
5572,Bodily Force,Male,Black,Assaulted Officer,Jordan,Domestic Abuse-In Progress ,ASLT4,45.008656,-93.295576
5573,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU,44.980833,-93.27196
5574,Bodily Force,Male,Black,Verbal Non-Compliance,Near - North,Burglary Dwlng In Progress ,FORCE,44.991498,-93.300071
5575,Bodily Force,Male,White,Tensed,Downtown West,Suspicious Person ,DISCON,44.977582,-93.275347
5576,Chemical Irritant,Female,Black,Assaulted Officer,Downtown West,Disturbance ,ASLT4,44.980833,-93.27196
5577,Bodily Force,Female,Asian,Assaulted Officer,East Harriet,Check the Welfare ,ASLT4,44.925909,-93.290836
5578,Bodily Force,Male,Other / Mixed Race,Tensed,Ventura Village,Suspicious Person ,FORCE,44.959124,-93.258484
5579,Bodily Force,Male,White,Fled on Foot,Como,Assault in Progress ,ASLT5,44.989875,-93.235841
5580,Taser,Male,Black,Tensed,Near - North,Assist EMS Personnel ,CIC,44.984813,-93.294104
5581,Bodily Force,Male,Black,Verbal Non-Compliance,St. Anthony East,Unknown Trouble ,OBSTRU,44.993876,-93.2499
5582,Bodily Force,Female,Black,Assaulted Officer,Ventura Village,Traffic Law Enforcement ,OBSTRU,44.960033,-93.251116
5583,Bodily Force,Female,Black,Tensed,Downtown West,Suspicious Vehicle ,OBSTRU,44.980833,-93.27196
5584,Bodily Force,Male,Black,Tensed,Downtown West,Suspicious Person ,CURFEW,44.979187,-93.273109
5585,Bodily Force,Male,Black,Tensed,McKinley,Attempt Pick-Up ,WT,45.015797,-93.286493
5586,Chemical Irritant,Female,Black,Verbal Non-Compliance,Downtown West,Suspicious Person ,DISCON,44.979626,-93.272499
5587,Chemical Irritant,Male,Black,Tensed,Loring Park,Down Outside-One ,OBSTRU,44.968853,-93.277814
5588,Bodily Force,Male,Black,Assaulted Officer,East Phillips,Domestic Abuse-In Progress ,OBSTRU,44.952851,-93.24865
5589,Bodily Force,Male,Native American,Verbal Non-Compliance,Folwell,Suspicious Person ,OBSTRU,45.021268,-93.295604
5590,Bodily Force,Male,Black,Unspecified,Jordan,Suspicious Person ,LOITER,44.999886,-93.298885
5591,Bodily Force,Male,Other / Mixed Race,Fled on Foot,McKinley,Traffic Law Enforcement ,DOMEN,45.017614,-93.290553
5592,Bodily Force,Male,Black,Tensed,Downtown West,Forgery in Progress ,FORG,44.981655,-93.271963
5593,Bodily Force,Male,Black,Verbal Non-Compliance,Powderhorn Park,Unknown Trouble ,DASLT5,44.940444,-93.249905
5594,Bodily Force,Male,Black,Assaulted Officer,Jordan,Domestic Abuse-In Progress ,ASLT4,45.008656,-93.295576
5595,Bodily Force,Male,Black,Verbal Non-Compliance,Victory,Suspicious Person ,THREAT,45.034413,-93.305988
5596,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,OBSTRU,44.980833,-93.27196
5597,Bodily Force,Male,Black,Tensed,Seward,On Site ,NARC,44.962504,-93.23458
5598,Taser,Male,Black,Commission of Crime,Downtown West,Fight ,OBSTRU,44.979626,-93.272499
5599,Bodily Force,Male,Black,Fled on Foot,Downtown West,Suspicious Person ,FLEEFT,44.979626,-93.272499
5600,Bodily Force,Female,White,Tensed,Loring Park,Tenant Trouble ,ASLT2,44.964609,-93.283231
5601,Bodily Force,Male,Black,Unspecified,Wenonah,Attempt Pick-Up ,WT,44.898812,-93.225388
5602,Bodily Force,Male,White,Tensed,Northrop,Prowler ,BURGD,44.917074,-93.24858
5603,Bodily Force,Male,Black,Unspecified,Longfellow,Domestic Abuse-In Progress ,DASLT5,44.94761,-93.230004
5604,Bodily Force,Male,Black,Fled on Foot,Columbia Park,Unknown Wireless/Cell Phone,OBSTRU,45.035546,-93.257725
5605,Bodily Force,Male,Black,Commission of Crime,Jordan,Shooting ,ASLT2,45.007759,-93.296205
5606,Bodily Force,Male,Black,Fled on Foot,Folwell,Motor Vehicle Chase ,FLEE,45.019442,-93.29307
5607,Bodily Force,Male,Native American,Assaulted Officer,Northeast Park,Disturbance ,CBYMIN,45.003824,-93.242272
5608,Bodily Force,Male,Black,Commission of Crime,Phillips West,Stabbing ,ASLT1,44.94884,-93.262672
5609,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON,44.979986,-93.274284
5610,Bodily Force,Male,White,Assaulted Officer,Downtown West,Disturbance ,OBSTRU,44.980808,-93.273141
5611,Chemical Irritant,Male,Black,Commission of Crime,Near - North,Disturbance ,ASLT4,44.999153,-93.293351
5612,Taser,Male,Native American,Verbal Non-Compliance,Elliot Park,Assault in Progress ,DASLT3,44.967987,-93.257813
5613,Baton,Male,Other / Mixed Race,Commission of Crime,Downtown West,Fight ,FORCE,44.979986,-93.274284
5614,Bodily Force,Male,Black,Fled on Foot,Central,Suspicious Person ,FLEEFT,44.941373,-93.269573
5615,Bodily Force,Male,Black,Tensed,Near - North,Narcotics ,FLEEFT,44.991192,-93.298199
5616,Bodily Force,Male,Black,Assaulted Officer,Jordan,Suspicious Vehicle ,FLEE,45.009636,-93.314826
5617,Taser,Male,White,Tensed,Downtown West,Property Damage Accident ,CRVEHI,44.97606,-93.274885
5618,Taser,Male,Black,Fled on Foot,Phillips West,Domestic ,DASLT5,44.956423,-93.267668
5619,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,Suspicious Person ,OBSTRU,45.007783,-93.300021
5620,Bodily Force,Male,Black,Fled in Vehicle,Willard - Hay,Motor Vehicle Chase ,FLEE,44.997477,-93.31844
5621,Bodily Force,Male,Other / Mixed Race,Commission of Crime,Windom Park,Indecent Exposure ,DISCON,45.012669,-93.247341
5622,Bodily Force,Female,Black,Commission of Crime,Shingle Creek,Fight ,ASLT5,45.048516,-93.318202
5623,Bodily Force,Male,Black,Commission of Crime,Downtown West,Narcotics ,LOITER,44.980281,-93.269393
5624,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT3,44.978339,-93.271065
